English,Manobo,Kagan,Cebuano
balloon,balon(M),paburot(K),lobo(C)
bamboo,kawayan(M),kawayan(K),kawayan(C)
banana,saging(M),saging(K),saging(C)
bandit,bagani(M),mangkat-na-utaw(K),bandido(C)
bank,butanganan-tu-sapi(M),bangko(K),bangko(C)
banquet,kumbira(M),kanduri(K),kumbira(C)
baptism,bunyag(M),pagislam(K),bunyag(C)
bargain,pag-angyo(M),pag-angyo(K),paghangyo(C)
birth,kinautawan(M),allaw-ng-pagakawtaw(K),adlaw-nga-natawhan(C)
bit,maintok-bag-to-bain(M),tagbi-na-bahin(K),diyutay-kaayong-bahin(C)
bite,kagat(M),pagkagat(K),ingkib(C)
bitter,mapuit(M),mapait(K),mapait(C)
black,maitom(M),maitom(K),maitom(C)
blackmail,pang-inandok(M),pag-alluk(K),paghulga(C)
bladder,ian(M),pantog(K),pantog(C)
blade,soab(M),suwab(K),sulab(C)
blame,basolon(M),isusu(K),basolon(C)
blank,wa-lasak(M),way-lasak(K),blanko(C)
blanket,sabanas(M),dagmay(K),habol(C)
blasphemy,among-among(M),pagpakatagbibi(K),panampalas(C)
blast,buto(M),buto(K),pag-ulbo(C)
blaze,niglugdog(M),kaga(K),dilaab(C)
bleed,palangusa(M),pagdugo(K),pagdugo(C)
blemish,malipa(M),maripa(K),hugaw(C)
blend,pagsagol(M),pag-itukod(K),pagsagol(C)
bless,pasalamat(M),pagpangayongayo(K),pagbendisyon(C)
blessing,panalangin(M),mga-kadyawan(K),pagbendisyon(C)
bliss,liliyag(M),kasuwat(K),kalipay(C)
blockhead,wa-ka-amo(M),way-dumdum(K),pulpol(C)
blood,langsa(M),dugo(K),dugo(C)
bloom,buwak(M),pagpamuak(K),pagpamulak(C)
blossom,nigbuak(M),yagabuka(K),bulak(C)
blot,lipa(M),taping(K),buling(C)
blouse,kabon-na-kamison(M),kamison(K),blusa(C)
blow-away,uyopon(M),iparid-na-uyop(K),pagpalupad-palayo(C)
blow,uyop(M),buga(K),buga(C)
bluff,pang-inandok(M),pag-alluk(K),panghadlok(C)
blunt,mangowod(M),mangangu(K),habol(C)
breath,ginhawa(M),napas(K),ginhawa(C)
cabbage,repolyo(M),repolyo(K),repolyo(C)
cabin,bawoy-bawoy(M),bai-bai(K),kamarote(C)
cabinet,kabinit(M),suratanan-na-lamesa(K),gabinete(C)
cable,kabli(M),kable(K),kable(C)
cad,wa-kasikow(M),dumadatung(K),banyaga(C)
cake,kik(M),keyk(K),keyk(C)
calamity,kalamidad(M),kasapadan-ng-panahon(K),kalamidad(C)
calculate,pagkalkulo(M),pagkarkulo(K),pagkalkulo(C)
calendar,kalendaryo(M),aw-bilangan-ng-buwan(K),kalendaryo(C)
call,sabi(M),tawag(K),tawag(C)
calm,mapaubsanon(M),matana(K),kalmado(C)
calumny,takonan(M),butangbutang(K),butang-butang(C)
camera,kamira(M),kamera(K),kamera(C)
camp,kampo(M),kota(K),kota(C)
campaign,kumbinsi(M),kampanya(K),kampanya(C)
can,lata(M),lata(K),lata(C)
canal,kanal(M),kanal(K),kanal(C)
candid,buotan(M),butan(K),buotan(C)
candle,kandila(M),lansuk(K),kandila(C)
canteen,baligyaanan-tu-makoon(M),kapiyanan-aw-inumanan(K),kantin(C)
cap,kalo(M),gora(K),kalo(C)
capable,moy-abilidad(M),awon-kagaga(K),maykatakos(C)
capacity,kapasidad(M),yang-kagaga(K),kapasidad(C)
capital,poonan(M),kapital(K),puhonan(C)
captain,kapitan(M),kapitan(K),kapitan(C)
captive,dinakop(M),biyag(K),bihag(C)
capture,nadakop(M),dakop(K),dakop(C)
car,sakayan(M),kotse(K),kotse(C)
career,trabao(M),gawbok(K),karera(C)
careful,maampingon(M),matyakap(K),maampingon(C)
carelessness,lamos(M),pagka-way-dumdum(K),ang-pagkadanghag(C)
caress,parayig(M),apuwap(K),gakos(C)
cargo,karga(M),dada(K),iluwan(C)
carpenter,pandoy(M),panday-ng-bai(K),panday-sa-balay(C)
carrier,kargador(M),taga-atud(K),tagdala(C)
carry,kinarga(M),pag-ungat(K),pagalsa(C)
cart,kariton(M),kariton(K),kariton(C)
carve,pagulit(M),paglukis(K),pagkulit(C)
case,kaha(M),kabutang(K),kahimtang(C)
daddy,amoy(M),ama(K),papa(C)
dagger,barow(M),badaw(K),baraw(C)
daily,arow-arow(M),allaw-allaw(K),adlaw-adlaw(C)
dainty,limpyo(M),malinis(K),malinis(C)
dairy,gatas(M),gatasan(K),kagatasan(C)
damage,kadaut(M),kasapadan(K),kadaut(C)
damaging,makadaut(M),kasikutan(K),perhuwisyo(C)
dame,daga(M),daga(K),dalaga(C)
damnation,sumpa(M),pagbuga-ng-kalungon(K),tunglo(C)
dance,sayow(M),sayaw(K),sayaw(C)
dancer,mananayow(M),magsasayaw(K),mananayaw(C)
danger,kuyaw(M),kasapadan(K),kakuyaw(C)
dangerous,makakuyow(M),delikado(K),delikado(C)
dapper,malimpyo(M),pagputok-para-madyaw-yang-pagtanaw(K),sitsiriko(C)
dare,pag-agit(M),pagagit(K),pagpangahas(C)
darkness,madiglom(M),kaduggum(K),kadulom(C)
darling,inigugma(M),ikaliniyan(K),minahal(C)
date,petsa(M),pitsa(K),pitsa(C)
daughter,anak-na-buyag(M),anak-na-bobay(K),anak-na-babaye(C)
dawn,kabukason(M),kakamgay(K),kabuntagon(C)
day,arow(M),allaw(K),adlaw(C)
dazzle,masilaw(M),suwaw(K),samaw(C)
dead,patoy(M),patay(K),patay(C)
deaden,paluyaluya(M),pagpa-wa-ng-gana(K),pagpaluya(C)
deaf,bungo(M),bungu(K),bungol(C)
deal,sabot(M),dagangan(K),negosyo(C)
death,kamatayon(M),kamatayon(K),kamatayon(C)
debate,lantugi(M),lantugi(K),lantugi(C)
debt,utang(M),otang(K),utang(C)
debut,pagpakila(M),muna-ng-pagpakila(K),unang-pagpapakila-sa-katilingban(C)
decay,kadunot(M),kadunot(K),kadugta(C)
deceit,limbong(M),limbong(K),limbong(C)
deceive,pagilad(M),paglimbong(K),paglimbong(C)
declare,pagdeklara(M),pagpayag(K),pag-asoy(C)
decline,pagbalibad(M),wa-kalini(K),pagkunhod(C)
decorate,pagdekorasyon(M),paglumba(K),pagdekorasyon(C)
decoy,litag(M),pawdo(K),paon(C)
decrease,pag-intok(M),pagkurang(K),pagkunhod(C)
decree,mando(M),patigam(K),dekrito(C)
decrepit,mainayon(M),mawmay(K),mahinay(C)
decry,pagbasol(M),pagsusu(K),pagbasol(C)
dedicate,pag-alad(M),pagsadaka(K),paghalad(C)
deduction,pagkuha(M),kurang(K),pagkunhod(C)
deem,paguna-una(M),pagdumdum(K),pagsabot(C)
deep,madawom(M),mawom(K),lalom(C)
deface,paglingaw(M),pagpanas(K),pagpanas(C)
defamation,pagpasikow(M),pagpakamomowa(K),pakaulaw(C)
defeat,pagpildi(M),pagkapilde(K),pagpildi(C)
defect,dipiktado(M),tila(K),apan(C)
defend,pagdipinsa(M),pagdepensa(K),paglaban(C)
deference,pag-uyon(M),pag-uyon(K),pagsunod(C)
deformity,pagkaganas(M),kasapadan-ng-badan(K),lawasnong-kadaot(C)
defraud,paglimbong(M),paglimbong(K),paglimbong(C)
defy,pag-ato(M),ya-supak(K),dili-pagsunod(C)
dejection,kapakyasan(M),way-katumanan(K),kalisdanan(C)
delay,pagkalangan(M),kangga(K),kalangan(C)
delegate,sinaligan(M),isarigan(K),tinugyan(C)
diabetes,diabetes(M),diabetes(K),diayabitis(C)
dizzy,alipong(M),way-tanod(K),alipulung(C)
each,kadaisa(M),isa-isa(K),tagsa-tagsa(C)
eagle,banog(M),tagsup(K),agila(C)
ear,talinga(M),taringa(K),dalunggan(C)
early,sayo(M),masum(K),sayo(C)
earn,kita(M),alin(K),halin(C)
earth,kalibutan(M),lupa(K),yuta(C)
earthquake,tiyog(M),linog(K),linog(C)
ease,masayon(M),masayon(K),kasayon(C)
easily,masayonay(M),sakawmo(K),sakasayon(C)
east,silatan(M),subangan(K),subangan(C)
easter,pagkabanhaw(M),pagtipon-ng-kabuwi-paguman(K),pasko-sa-kabanhaw(C)
easy,sayon(M),malug-inangun(K),madali-himoon(C)
eat,pagkoon(M),pagkan(K),pagkaon(C)
echo,sikong(M),manug-na-uni(K),lanog(C)
economical,madigit(M),masimoton(K),maekonomiya(C)
economize,madanginot(M),masimoton(K),pag-ekonomiya(C)
ecstasy,nigliliyag(M),kasurogan(K),kahimayaan(C)
eddy,alimpos(M),buhawi(K),buhawi(C)
edge,tampos(M),kaposan(K),tumoy(C)
edible,kakoon(M),makan(K),makaon(C)
edifice,sementado-na-bawoy(M),bai-na-isemento(K),balay-sinemento(C)
educate,pagtudlo(M),pag-indo(K),pagtudlo(C)
education,edukasyon(M),katigam(K),edukasyon(C)
eel,kasili(M),kasili(K),kasili(C)
effect,epekto(M),kaparawliyanan(K),samputanan(C)
effective,epektibo(M),madyaw(K),epektibo(C)
effort,paglogot(M),pagtus(K),panigkamot(C)
egg,atoog(M),itlog(K),itlog(C)
eggplant,talong(M),tawom(K),talong(C)
eight,walo(M),ikawaw(K),ikawalo(C)
elaborate,isaysay(M),na-ingkod(K),marangya(C)
elbow,siko(M),siko(K),siko(C)
electrician,elektrisyan(M),elektrisyan(K),elektrisyan(C)
elegant,mapustora(M),madyaw-yang-paras(K),elegante(C)
elevate,ipataas(M),pagpakakagwas(K),pagpatas(C)
elevation,pataas(M),kinatasan(K),kahitas-an(C)
eligible,takos(M),makagaga-ng-gawbuk(K),takos(C)
eliminate,paglingat(M),pagtarikod(K),pagpildi(C)
elite,pinili(M),mga-pinili(K),mga-pinili(C)
eloquence,maruyow-tu-ug-ikagi(M),kadyaw-mag-lawong(K),kabatid-manulti(C)
else,basin-manaw(M),ata-wa-ka(K),kon-dili(C)
elsewhere,sa-lain-na-lugar(M),sa-lain-na-banwa(K),sa-laing-dapit(C)
elude,likay(M),panangila(K),lihay(C)
elusive,maidla(M),mahirap-datungan(K),idlas(C)
emanate,niggawas(M),lugwa(K),lugwa(C)
emancipate,paggawas(M),pag-luwas(K),pagluwas(C)
embalm,embalsamar(M),pagpabagsug-ng-lawas(K),pag-embalsama(C)
embarrass,pagpakasikow(M),pagpakamomowa(K),pagpakaulaw(C)
ember,atun(M),agipo(K),agipo(C)
embezzle,pagkawat(M),paglimbong(K),pagtikas(C)
emblem,timaan(M),tanda(K),timaan(C)
embrace,kupkup(M),kupkup(K),gakos(C)
emergency,emergency(M),tempo-ng-kahirapan(K),panahon-sa-kapit-os(C)
epilepsy,abuyon(M),itakigan(K),patol(C)
eye,mata(M),mata(K),mata(C)
fable,karaan-na-isturya(M),uman-uman(K),kuwentong-di-totoo(C)
fabric,panaptop(M),panapoton(K),tela(C)
facade,atubang(M),adapan(K),pasada(C)
face,goya(M),parangay(K),mukha(C)
fact,tinuod(M),katinud-an(K),katunayan(C)
factory,inanganan(M),inanganan(K),paktorya(C)
faculty,grupo-sa-magtutudlo(M),panon-ng-magiindoway(K),kahusayan(C)
faint,nalutoy(M),adong-adong(K),nanghina(C)
faith,pagsalig(M),ipangintowan(K),paniniwala(C)
fall,na-og(M),yamallog(K),pagbaba(C)
false,tumosan(M),mali(K),mali(C)
fame,sikat(M),ikila(K),kabalitaan(C)
family,pamilya(M),pamilya(K),pamilya(C)
famine,tigbuntas(M),kagutoman(K),kagutuman(C)
fan,kukuyab(M),pangunguyab(K),bentilador(C)
fancy,pig-unauna(M),dumduman(K),kapritso(C)
far,matiwoy(M),mawat(K),malayo(C)
fare,plete(M),pamilite(K),pasahe(C)
farm,uma(M),tanuman(K),bukid(C)
fascinate,tigpamutangan(M),pakawoy(K),lumay(C)
fast,malakiay(M),malakas(K),madali(C)
fate,kaparugan(M),kadodogan(K),kapalaran(C)
father,amoy(M),ama(K),amahan(C)
fatigue,kalutoy(M),kaobas(K),kakapoy(C)
faucet,gripo(M),gripo(K),gripo(C)
fault,sala(M),sayop(K),sayop(C)
favour,madyow-na-kabubuthon(M),utang-na-bot(K),utang-buot(C)
favourable,madas-ug-uyon(M),paborito(K),paborable(C)
fear,kaandok(M),kallok(K),kahadlok(C)
fearful,kaandokan(M),kallokanan(K),kahadlokan(C)
feasibility,sayon(M),kasayonan(K),kasayonan(C)
feast,piyesta(M),pakaradyan(K),kapistahan(C)
feather,bu-ok(M),bubu(K),balhibo(C)
feature,maduyu-nu-guya(M),parangay(K),panagway(C)
fee,bayran(M),bayadanan(K),bayranan(C)
feeble,malutoy(M),mawmoy(K),mahinay(C)
feed,tibungan(M),pagpakan(K),pagpakaon(C)
feel,pagbati(M),paggodam(K),pagbati(C)
feign,pigbutang-butangan(M),pagtumo-tumo(K),pagpasangil(C)
fellow,kadumaan(M),inagad(K),kauban(C)
felonious,maruot(M),darwaka(K),dautan(C)
fever,tig-lagnat(M),gidam(K),kalentura(C)
finger,tudlo(M),igtuturo(K),tudlo(C)
forehead,guya(M),guya(K),agtang(C)
gag,sampongan(M),sampongan-yg-baba(K),busulan(C)
gain,pagtulin(M),yaga-odyagon(K),magtubo(C)
gall,apodo(M),apdo(K),apdo(C)
gallant,mabut(M),mayisog(K),galante(C)
gallon,galon(M),galon(K),galon(C)
gallop,malaki-lagoy(M),dagan-nga-kinabayo(K),galon(C)
gamble,nigpusta(M),magsugal(K),pumusta(C)
game,bisyo(M),ballong(K),dula(C)
gander,gangsa(M),gangsa(K),gangsa(C)
gang,grupo(M),kainagadan(K),barkada(C)
gap,nabuak(M),pamagutan(K),kal-ang(C)
garb,kabo(M),kasuogaan(K),sinina(C)
garbage,dagot(M),basura(K),basura(C)
garden,tanaman(M),tanumanan(K),tanaman(C)
gardener,tigbantay-to-tanum(M),mag-papawa(K),hardenero(C)
gargle,nangalimog(M),galumod(K),limogmog(C)
garland,pali-ot(M),pungpong-ng-mga-bulak(K),pungpong-sa-mga-bulak(C)
garlic,sibuyas(M),bawang(K),bawang(C)
garment,kabo(M),bado(K),sapot(C)
garter,garter(M),garter(K),ligas(C)
gas,petrolyo(M),petrolyo(K),gas(C)
gash,pali(M),kawot(K),samad(C)
gate,pwerta(M),pertan(K),ganghaan(C)
gather,tapukon(M),maga-tipon(K),pag-ipon(C)
gay,malipayon(M),masuwat(K),malipayon(C)
gaze,intong(M),yatanaw(K),pagtan-aw(C)
gem,madyaw-na-bato(M),mutya(K),alahas(C)
general,tibo-tibo(M),pang-kariko(K),sa-tanan(C)
generate,pagpadaig(M),yaga-paawn(K),pagpasanay(C)
generosity,buotan(M),madyaw-na-pamatayan(K),pagkamahatagon(C)
genius,matigam(M),baraakal(K),henyo(C)
gentle,pautan(M),matigson(K),ligdog(C)
gently,mainay(M),maumayay(K),sa-mahinay(C)
genuine,tinuod(M),kabuna(K),tinuod(C)
germ,kagow(M),maripa(K),kagaw(C)
germinate,pagganansiya(M),pag-udyag(K),pagganansiya(C)
gesture,pagiso-iso(M),pangliyok-liyok(K),panglihok-lihok(C)
get,kamang(M),pagkamang(K),pagkuha(C)
ghastly,makulba(M),kuyaw(K),ngilngig(C)
ghost,umagad(M),yawa(K),kalag(C)
giant,apila(M),apila(K),higante(C)
gibberish,nabungbong(M),di-pagkasabotan(K),di-masabtan(C)
gift,inatag(M),i-atag(K),regalo-hinatag(C)
gums,guos(M),lagos(K),lagos(C)
habit,batasan(M),batasan(K),batasan(C)
habitable,ugpaan(M),kaw-yaan(K),kapuy-an(C)
haggard,malutoy(M),maom-yg-mata-sapap-sg-kawmay(K),laglom-og-mata-tungod-sa-kaluya(C)
hair,buok(M),lugay(K),buhok(C)
hairpin,kimpit(M),ligpit-ng-lugay(K),kimpit-sa-buhok(C)
hale,madyow-tu-lawa(M),matigson(K),maayo-og-lawas(C)
half-bred,mestisa(M),awmpagka(K),mestisa(C)
half,medya(M),pagutan(K),katunga(C)
hall,kwertahan-sa-bawoy(M),gin-lowban-ng-bay-kaw-yaan(K),sala-sa-balay(C)
halt,undang(M),tangko(K),hunong(C)
hammer,pawo(M),pang-dukduk(K),martilyo(C)
hammock,duyan(M),female2(K),duyan(C)
handful,kinumo(M),pagkumo(K),paghakop(C)
handkerchief,panyo(M),mosa(K),panyo(C)
handrail,awidanan(M),barina-gamit-yang-dimano(K),barandilya(C)
handsome,madyoway(M),guwapo(K),ambongan(C)
handwriting,suwat(M),suwat-arima(K),guhit(C)
handy,maagkapay(M),malog-daon(K),daling-dad-on(C)
hang,tug-butoy(M),pagbitay(K),pagbitay(C)
happily,kalipay(M),sg-kasuwat(K),sa-kalipay(C)
happy,malipayon(M),malipay(K),malipayon(C)
harbour,pantalan(M),pundowanan-ng-barko(K),pundohanan-sa-barko(C)
hard,maliskog(M),mabaskog(K),malisod(C)
hardly,maliskog(M),awon-kahirap(K),lugosay(C)
hardship,maliskog(M),kahirap(K),kalisod(C)
harm,kadautan(M),sang-katan(K),kadaot(C)
harrow,karas(M),karas(K),kahig(C)
harsh,pig-andok(M),aras-aras(K),haras-haras(C)
has,moy-umay(M),awon(K),adunay(C)
haste,apura(M),yg-pag-pakalog(K),apura(C)
hatch,pagpusa(M),pagpusa(K),pagpusa(C)
hate,pagdumot(M),pagdumot(K),pagdumot(C)
haughty,maambogay(M),mambog(K),hambog(C)
haul,pagguyod(M),pagakot(K),paghakot(C)
haunt,panganop(M),pag-panganap-para-madakop(K),pagpangita-aron-dakpon(C)
hazardous,makalisang(M),delikado(K),peligros(C)
heaL,pagtambal(M),,
head,o(M),o(K),ulo(C)
headache,sakit-sa-o(M),sakit-na-o(K),labad-sa-ulo(C)
headed,parog(M),padug(K),padulong(C)
heal,pagtambal(M),pagbong(K),pagtambal(C)
heart-attack,attake-sa-kasing-kasing(M),yasogmat-yg-sakit-sg-poso-poso(K),atake-sa-puso(C)
heart,kasing-kasing(M),poso-poso(K),kasing-kasing(C)
heartbeat,heartbeat(M),pitik-ng-poso-poso(K),tibok(C)
heel,kobong(M),takod(K),tikod(C)
ice-cream,ice-cream(M),paniki(K),sorbetes(C)
ice,ice(M),binaning(K),yelo(C)
idea,una-huna(M),dumduman(K),huna-huna(C)
ideal,surononon(M),kalini(K),mithi(C)
identical,aangay(M),kapagunawa(K),kapareho(C)
idiot,lingog(M),gonong(K),buang-buang(C)
idle,istambay(M),mataka(K),tamad(C)
ignite,dagkot(M),pagsuga(K),pagdagkot(C)
ignorance,wa-batasan(M),way-pangap-apan(K),kaignorante(C)
ignorant,wa-batasan(M),way-katigaman(K),ignorante(C)
ill,masakiton(M),masakiton(K),masakiton(C)
illegal,supakero(M),supak-sang-hukoman(K),supak-sa-balaod(C)
illegitimate,supak-tu-balaod(M),ya-sang-ka-sang-hukoman(K),sukwahi-sa-balaod(C)
illness,sakit(M),ibatiyan(K),balatian(C)
illuminate,maawangay(M),ikapawan(K),pag-iwag(C)
illusion,damgo(M),pananaw(K),damgo(C)
illustration,larawan(M),murad(K),hulagway(C)
imagination,palandong(M),pandumduman(K),imahinasyon(C)
imbecile,buangon(M),mawmay-na-kadag(K),buangon(C)
immediately,madaliay(M),ansan-ansan(K),sa-labing-madali(C)
immense,malakbang(M),mabuwat(K),halapad(C)
imminent,pasuok(M),masaid(K),nagkaduol(C)
impart,pagtudlo(M),mag-atag(K),paghatag(C)
impede,pagsumpo(M),ababagan(K),pag-ulang(C)
impediment,nauwangan(M),sagabal(K),babag(C)
impel,pagpugos(M),ipaspas(K),pagpugos(C)
impending,umaabot(M),dumadatong(K),umaabot(C)
imperfect,kuwang(M),di-ng-juko(K),kulang(C)
impersonate,sunod-sa-lihok(M),pagsundog-ng-lihok(K),pagpanundog-sa-lihok(C)
implement,pagtuman(M),pagpatuman(K),pagpatuman(C)
implicate,mailabtanon(M),pagpa-ilabot(K),pagpahilabot(C)
implore,pagpangamuyo(M),pagpangumpaya(K),pagpangamuyo(C)
imply,pagpasabot(M),pagpatigam-na-yan(K),paila(C)
impossible,imposible(M),imposible(K),imposible(C)
impoverish,pagkabos(M),pagpamiskin(K),pagpobre(C)
impress,pagpasikat(M),pagpato(K),pagpabilib(C)
imprison,sigpriso(M),pagkulong(K),pagbilanggo(C)
infection,inpeksyon(M),impeksyon(K),umalabot(C)
injury,pantigan(M),ya-nabali(K),samad(C)
itchy,madugos(M),kato-kato(K),katol(C)
jab,pagsumbag(M),pagsuntok(K),pagsukmag(C)
jack,kabra(M),ligwat(K),ligwat(C)
jackfruit,nangka(M),langka(K),nangka(C)
jail,prisohan(M),pirisohan(K),bilanggoan(C)
janitor,masilhigay(M),manlimpyohay-sa-sud-ng-opisina(K),maglilinis-sa-lawakbuhatan(C)
jar,tadyaw(M),lasakanan(K),garapon(C)
jargon,maalingogngog(M),piyaglawgan-na-mabuyong(K),sulting-yagaw(C)
jaw,baka(M),pisngi(K),panga(C)
jeer,masinawayon(M),yagapakat-ng-paras(K),yam-id(C)
jelly,gulaman(M),gulaman(K),gulaman(C)
jerk,pigbutad(M),gallat(K),paglagnot(C)
jest,pangisi(M),payko(K),tiaw(C)
jewel,alahas(M),gadungan(K),alahas(C)
jeweller,mamaligyaay-alahas(M),mga-dadagang-ng-gadungan(K),mag-aalahas(C)
jilt,pig-uyowan(M),pag-butas(K),pagbiya(C)
jingle,kampana(M),tungkaring(K),batingting(C)
job,trabaho(M),gawbo(K),trabaho(C)
join,apil(M),pag-upod(K),pag-apil(C)
joint,kasinumpayan(M),sugpat(K),dinugtongan(C)
joist,awog-ogan(M),kasaw(K),busaog-sa-atop(C)
joke,madigaydig(M),pabalong-na-kaykowanan(K),komedya-na-kataw-anan(C)
jolly,malipayon(M),yamasuwat(K),masadya(C)
jot,natipak(M),tagbibi(K),tipik(C)
journalist,tigpakisayod(M),tig-lalawong(K),tigmantala(C)
journey,nigpanaw(M),panawan(K),biyahe(C)
jovial,nig-ngisi(M),masuwaton(K),masaya(C)
joy,kalipay(M),kasuwat(K),kalipay(C)
joyful,malipayon(M),yamasuwat(K),malipayon(C)
judge,ukom(M),paghukom(K),paghusga(C)
judgement,ukom(M),pag-butang-ng-kabunna-para-kanan(K),paghuhukom(C)
jug,pitsil(M),sa-sawok(K),pitsil(C)
juice,pinugta-na-prutas(M),inomanan-na-sikon-sag-duga-ng-prutas(K),ilimnon-nga-gikan-sa-duga-sa-prutas(C)
jump,ogsayaw(M),pag-layog(K),paglukso(C)
junction,nig-bubulig(M),kasambukan(K),kahiusaan(C)
juncture,sinumpayan(M),sinugpatan(K),dugtungan(C)
june,hunyo(M),hunyo(K),hunyo(C)
jungle,guwanganan(M),kagwangan(K),kalasangan(C)
jurisdiction,katungod(M),kawajib(K),hurisdiksyon(C)
jury,paghukom(M),tig-paghukom(K),maghuhukom(C)
just,madoyow(M),madyaw(K),maayo(C)
justice,hustisya(M),kabunna(K),hustisya(C)
justifiable,katarongan(M),mabunnawon(K),makatarongan(C)
justify,katarongan(M),paghatag-ng-kabunna(K),katarongan(C)
juvenile,mga-dugsak(M),bago-ngu-taw(K),bata-on(C)
keen,maagsub(M),aritan(K),talinis(C)
keep,i-ubung(M),pagtago(K),pagtago(C)
keeper,bantayan(M),tigbantay(K),tigbantay(C)
keeping,timaani(M),yagatago(K),timaani(C)
keepsake,andog(M),tadumanan(K),handomanan(C)
kettle,kulun(M),kundi(K),takore(C)
key,yabe(M),gunsi(K),yawi(C)
kick,guyukan(M),isipa(K),sipa(C)
king,pangulo(M),datu(K),hari(C)
kingfisher,basagsag(M),bakaka(K),tikarol(C)
kiss,aruk(M),pangaook(K),halok(C)
kit,kagamitan(M),butanganan(K),kasangkapan(C)
kitchen,aboan(M),kusina(K),kusina(C)
kite,tabanog(M),tabanog(K),tabanog(C)
kitten,uinpis(M),tagbibi-na-meow(K),kuting(C)
knave,limbongangka(M),tikasan(K),tawo-nga-limbongan(C)
knead,kutow(M),masa(K),pagmasa(C)
kneel,luod(M),pagluhod(K),pagluhod(C)
knife,atak-atak(M),bade(K),kutsilyo(C)
knit,gansilyo(M),paggansilyo(K),paggansilyo(C)
knock,takurigan(M),tuktok(K),tuktok(C)
knot,bawk(M),pagukut(K),balikos(C)
knowing,nasaobtan(M),yama-tigam(K),nasayod(C)
knowledge,nakasabot(M),katigam(K),kahibalo(C)
knuckle,kinumo(M),lupulupuan-ng-kamao(K),knuckle(C)
label,markahi(M),pagtadom(K),pagtimaan(C)
labour,trabaho-i-kan(M),paginang(K),pagbuhat(C)
lace,ilo-i(M),paglubok(K),paglaso(C)
lack,kulang-si-kan(M),kipang(K),ang-kakulang(C)
